REGION,IS_AlemAgro?,APPLICANT_NAME,Сумма Субсудии,YEAR
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ПИСАРЕВСКОЕ-АГРО""""""",323886492.33000004,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Алтын-Инвест""",320640169,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агросевер""",319717578,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью""Тайынша-Астык""",312114607.42999995,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СК Агро 2050""",309441895,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ақ-Жер 2010""",308911485,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Есиль""",283626967.23,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Шатило и К""",283394284.04999995,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Ен-Дала""",279291142.53,2021
Восточно-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЗАЩИТА УБА""""""",276465381.08000004,2020
Северо-Казахстанская область,Other,"Коммандитное товарищество ""Зенченко и компания""",276322654,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Арыстан-ПК""",269728009,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Дихан Плюс""",267392145.43,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Есильская""",266554016.45000002,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""КДК АГРО""",263493262.41,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Сағат -СК""",256969799.34,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ТамызАгроИнвест""",249829500,2022
Северо-Казахстанская область,Other,"Коммандитное товарищество ""Мамбетов и компания""",247254375,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Асыл логистикс""",238538590.53,2021
Павлодарская область,Other,"Товарищество с ограниченной ответственностью фирма ""Актогай-АГРО""",230952408.98000002,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Эксимнан""",230482840.79000002,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СК Агро 2050""",229687488.84,2021
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ТРУД""""""",229138095.35999998,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью""Тайынша-Астык""",228472684,2022
Северо-Казахстанская область,Other,"""КОММАНДИТНОЕ ТОВАРИЩЕСТВО """"ЗЕНЧЕНКО И КОМПАНИЯ""""""",228271515.49,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ақ-Жер 2010""",221094923.6,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Сағат -СК""",220849550,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Боровское""",218719627,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Корнеевка""",215719908,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Целинный""",214523221.64000005,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Мичуринский""",211520099.23999998,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ТАЛШИК АСТЫК АГРО""",208738342.26999998,2021
Актюбинская область,AlemAgro,"Товарищество с ограниченной ответственностью ""ДиЛэнд""",202391686,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Дихан Плюс""",200199658,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Дихан Плюс""",199873171.91,2021
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАЛШИК АСТЫК АГРО""",193832281.17000002,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Фермер 2002""",192253682,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ШУЙСКОЕ-ХХI""""""",187661295.89000002,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Шал акын АГРО-2020""",182109291.4,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Есиль""",179304013,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОСЕВЕР""""""",172902654.04000002,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""КАЗГЕР""",171970272.16,2021
Павлодарская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИМЕНИ """"АБАЯ""""""",169601323.98,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ТАЛШИК АСТЫК АГРО""",169008953,2022
Восточно-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Опытное хозяйство масличных культур""",169002569.16,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Сепе-2012""",168451421,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Корнеевка""",167834030.9,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ИВАН ЗЕНЧЕНКО""""""",164825449.34,2020
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"МАНШУК-АЭ""""""",164669357.29000002,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Новокубанское""",162396939.11,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ТайыншаАгроИнвест""",160829392,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Беляевка""",160357058,2022
Северо-Казахстанская область,Other,"Коммандитное товарищество ""Зенченко и компания""",159701408.83,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Норд Агро 2030""",157959648,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Возвышенка-СК""",156055169,2022
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЗВЫШЕНКА-СК""",155681489.05,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью Агрофирма ""Родина""",155646984.03,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Бастау""",154214160.46,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Иван Зенченко""",153685824,2022
Актюбинская область,AlemAgro,"Товарищество с ограниченной ответственностью ""ДиЛэнд""",152540959.88000003,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АТАМЕКЕН-АГРО""""""",152242476.95,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Явленское МТС""",152063697,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""АстыкМол""",146320327,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Алтын Астык 2050""",145076300,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Шуйское-ХХI""",144672530.89000002,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Зеренда-Астык""",143157730,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Жана - Жол""",141445243.08,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Новотроицк-1""",140643937,2022
Северо-Казахстанская область,Other,"""КОММАНДИТНОЕ ТОВАРИЩЕСТВО """"МАМБЕТОВ И КОМПАНИЯ""""""",139628224.62,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ЫРЫСТЫ АСТЫҚ""",139423551,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Кулик Н.П.""",137674780,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Буденное-СК""",135182157,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Сағат -СК""",134806725.57,2021
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"КАЗГЕР""""""",134628071.43,2020
Акмолинская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕН-ДАЛА""",134461481.47,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Белгородское""",134293487,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Зеленое-1""",132710746,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Фирма Бабык-Бурлук""",132666445,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Тимирязево""",132152715.66,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"НОВОМИХАЙЛОВСКОЕ-2003""""""",130278895.31,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Веденовка""",129563197,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Северо-Казахстанская сельскохозяйственная опытная станция""",128785390,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Ғарыш""",128323940.10000001,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Турар""",127757679.42,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Олжа Босколь-Астык""",127293183,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""САҒЫМ-БИДАЙ""",126705437.85000002,2021
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Новотроицк-1""",126079543.65999998,2021
Павлодарская область,Other,"Товарищество с ограниченной ответственностью имени ""Абая""",125782256.26999998,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Содружество-2""",125666135,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Бастау""",124948119,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Явленское МТС""",123623386.45,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Вишневское""",122914186.15,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""""ТАЙЫНША-АСТЫК""""""",122864646.58000001,2020
Карагандинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"НАЙДОРОВСКОЕ""""""",122415634.72,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Шуйское-ХХI""",122082456,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""САНА-АГРО""",121523973.48,2021
Карагандинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЖАНА АЙ""""""",119780506.68,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Атамекен-Агро-Корнеевка""",119652118.99000001,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Мичуринский""",119407038.38,2021
Восточно-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Опытное хозяйство масличных культур""",119301056.30000001,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Кенбидай Астык""",118065248,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Целинное-2004""",117275934,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Москворецкое""",115034046,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Asyl Grain Комарова""",114795664,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Жамбылская""",114294098.61000001,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Новокубанское""",114118125.45,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Поиск""",113546210,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Зеренда-Астык""",112489274.43000002,2021
Костанайская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ҚАРҚЫН""",109372387.59,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОТЕХНИКА-ЖАМБЫЛ""""""",107120823.74000001,2020
Акмолинская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕПЕ-2012""",106316724.11,2020
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ТОГАС И К""""""",106302231.41,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Намыс""",106146837,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Приишимский""",106079487,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""EL INVEST AGRO""",105976979,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Фирма НАНАР""",104896582.57000001,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Тней-Агро""",104781564,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Жаркуль""",104190111.83000001,2021
Акмолинская область,AlemAgro,"Товарищество с ограниченной ответственностью ""Агрофирма Халық Жері""",103693091,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Дамды 2005""",103522680,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""ШаныракАгро""",103443119,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ШАНЫРАК Р""""""",103274557.33,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Новокубанское""",102480785,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Веденовка""",102083873.19,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Умай Жер""",101887284.57000002,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью Агрофирма ""Родина""",101556769,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Ғарыш""",100643270.15,2021
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АКСЕЛЕУ""""""",100399598.54,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Астык-STEM""",99817189,2022
Павлодарская область,Other,"Товарищество с ограниченной ответственностью фирма ""Актогай-АГРО""",99261552,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Фирма НАНАР""",99193404,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Свободное""",98567081,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Сервис-ЖАРС""",98211563.05,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Писаревское-Агро""",98053705.53,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Запорожье-Агро""",97803376.08,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Ғарыш""",97113427,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ильинское""",96713905,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Новобратское""",96599416,2022
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""САНА-АГРО""",96353163,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Викторовское""",96321889.17,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Новомихайловское-2003""",96279577,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Егин""",94989597,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""АБИ-ЖЕР""",94333004.51,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Оксановка-1""",93882201,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Алтындан""",92809640,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЗАРЕЧНЫЙ""""""",92649975.37,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"УПРАВЛЯЮЩАЯ КОМПАНИЯ """"ӘДІЛ""""""",92526244.71999998,2020
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АГРОЕНБЕКБЕРЕКЕ""""""",90847346.36,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Иван Зенченко""",90788411.36999999,2021
Северо-Казахстанская область,Other,"Коммандитное товарищество ""Бредун""",90577622,2022
Акмолинская область,Other,"Производственный кооператив ""Ижевский""",90481403.48000002,2021
Актюбинская область,AlemAgro,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ДИЛЭНД""""""",90347780.36,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕГИН""",90213685.84,2020
Северо-Казахстанская область,Other,КХ Буланбай,90090276,2022
Северо-Казахстанская область,Other,"Фермерское хозяйство ""БЕКЕТ"" Шапенов Марат Мухамедьярович",89330442.92000002,2020
Северо-Казахстанская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТЫК-STEM""",89318827.07000001,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Класс Агро""",88868029,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Веденовка""",88585513.69,2020
Акмолинская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ЖЕР 888""",88419020.57,2020
Северо-Казахстанская область,Other,"""""""ПОЛТАВСКОЕ"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ""",88243040.44,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Дамды 2005""",87985329.97999999,2021
Павлодарская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРОФИРМА """"ПОКРОВКА""""""",87979623.45,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Прометей-Агро""",87062196,2022
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ГРАНД""""""",86915443.85,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""АҚ Ниет""",86865950.18,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Чингис-Хан""",86582266.05,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""СК Агро 2050""",86178074.75000001,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Ильич - Тайынша""",85366156,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Бурабай - 2007""",84795366.18,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Саумалкөл Агро""",84765769,2022
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Кайнар-Агро-11""",84734406.82,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Краснополянское""",84377798.49000001,2021
Костанайская область,Other,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАМДЫ 2005""",84119373.9,2020
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АРҚА СӘУЛЕТ""""""",83318467.47,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Целинное-2004""",83117889.1,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Заречный""",83042748.05000001,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Есильская""",82803381.02,2021
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""ЕСЕЙ-АГРО""",82389276,2022
Акмолинская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЧИНГИС-ХАН""""""",82237664.18,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Нива""",82172106.98,2021
Восточно-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"СРЕДИГОРНЕНСКИЙ""""""",81944695.96,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Адлет-Т""",81929178,2022
Восточно-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"БЫСТРУХА-АСТАНА""""""",81467741.16,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""Ак-Бидай-Агро""",80461089.97999999,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Бурабай - 2007""",80417680,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Содружество-2""",80410120.74999999,2020
Костанайская область,Other,"Товарищество с ограниченной ответственностью ""САНА-АГРО""",80351470.6,2020
Акмолинская область,Other,"Товарищество с ограниченной ответственность ""Әріп-Агро""",80243726,2022
Северо-Казахстанская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ДАШКА-НИКОЛАЕВКА СК""""""",79890570.53999999,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""GCK-Taynsha Astyk""",79761963,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Жаркуль""",79607926,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Азия-Тарангул""",79176820,2022
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма ""Мамлютская""",78966425.98,2021
Костанайская область,Other,"""ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ТУРАР""""""",78634803.20000002,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Агрофирма Эксимнан""",78616467.47,2020
Северо-Казахстанская область,Other,"Товарищество с ограниченной ответственностью ""Возвышенка-СК""",77490000,2021
Акмолинская область,Other,"Товарищество с ограниченной ответственностью ""СХП Новобратское""",77294442.78,2021
